title,author_info,rating,pros,cons,helpful
Hellish,"May 26, 2020 - Writer-Director in Culver City, CA",3,"Distribution, large studio reach and infrastructure, location... Culver City, CA","Crazy executives, especially on creative side",1 person found this review helpful
Could be better,"May 26, 2020 - Business Analyst",3,"Good benefits, a week off at christmas, opportunity to advance","Slow moving, lack of direction and communication",Be the first to find this review helpful
SONY review,"May 11, 2020 - Engineer in Miami, FL",5,"Work environment and health benefits, 401k",Advancement opportunities and company doesn't provide vision,Be the first to find this review helpful
"Benefit and brand name is good, but...","May 22, 2020 - Translator",3,Great benefit and brand name,Work-life experience is not quite easy,Be the first to find this review helpful
Good Place to work,"May 13, 2020 - Software Engineer in San Diego, CA",4,"Good management, life / work balance / benefits",Sometime long hours / international travel,Be the first to find this review helpful
Run away and don’t look back,"May 13, 2020 - Anonymous Employee in Herndon, VA",2,"Better job security than the federal government. You can do drugs in the bathroom, make racist comments, and have the police come to the office looking for you after you commit a felony and still keep your job until you land in jail for the third time in a year. Good benefits and perks. Decent pay. We have a playstation in the break room that management discourages you from using.",Good ole-boy club mentality and cronyism. Management acts like petulant man-children. Employees were and are still very unhappy. Employees report sexual harassment to their boss and nothing gets done about it.,Be the first to find this review helpful
Awesome place,"Apr 26, 2020 - Anonymous Employee",5,"Great environment, very encouraging upper management, glad to be part of this amazing community.",There is nothing negative so far.,Be the first to find this review helpful
Major labels,"May 7, 2020 - Vice President in New York, NY",4,Overall good company and benefits.,Internal politics between labels and central functions.,Be the first to find this review helpful
Opportunity to grow fast if you are committed to put great effort!!,"Apr 30, 2020 - Software Engineer",3,1. Yearly Open house 2. Samagama - yearly event like a cultural festival in colleges with unlimited Booz and fancy resorts. 3. High number of PTO,1. Low Salary 2. Company politics,Be the first to find this review helpful
Good,"Apr 7, 2020 - Sales Operations Coordinator in Miami, FL",4,"high paying, good people and environment","conservative management, inflexible to change",Be the first to find this review helpful
"Great company, but not if you have a terrible manager","Apr 4, 2020 - Manager in Herndon, VA",3,"People-centric company. Great salary, perks, benefits. The top-down culture is geared towards improving employee relations","When you have a terrible manager and a great company, is it worth it? When you're manager was as bad as mine, it was not. Cronyism, double standards, constant negative feedback over petty issues all made for a miserable existence at Sony, despite how great the company is. While the company's overall culture was good, the division's culture was one of insecurity and people looking out for themselves, rather than for the team.",Be the first to find this review helpful
Wonderful place to work,"Mar 1, 2020 - Product Manager",5,"Great perks, Great benefits, Great People","Red tape, micro management",Be the first to find this review helpful
Accountant,"Mar 11, 2020 - Accountant",4,"A great, diverse place to grow out an accounting skillset.",None that I can think of.,Be the first to find this review helpful
Overall good,"Feb 20, 2020 - Anonymous Employee",4,-nice team members -good work life balance,-corporate work environment could be somewhat downside,Be the first to find this review helpful
Director of product,"Feb 5, 2020 - Contract Administration Manager in Los Angeles, CA",5,overall good experience working here,getting a title is tricky,Be the first to find this review helpful
Pretty Creative Culture for Corporate Environment,"Feb 4, 2020 - Art Director in Culver City, CA",4,Great environment on campus. Very good benefits. Good energy from being surrounded by talented creative people.,"Corporate culture can be seen as either a pro or a con, depending on how creatives view this. There are a lot of VPs who like to weigh in with input on projects.",Be the first to find this review helpful
"Slow moving, Too much bureaucracy","Feb 8, 2020 - Data Scientist",1,"Slow moving, not very much opportunity","Slow moving, boring, and not much career development",Be the first to find this review helpful
"My job title had nothing to do with the job I performed,","Jan 13, 2020 - Anonymous Employee",4,Learned many different skills while working at Sony. Made many friends while working at Sony.,Very corporate. Job titles do not necessarily reflect what you are actually doing.,Be the first to find this review helpful
Not a company that wants to honor employment law,"Feb 1, 2020 - Vice President in Culver City, CA",1,"Good benefits, good to have on a resume",see headline - HR provides cover for management,1 person found this review helpful
Exellent Company,"Dec 3, 2019 - Product Marketing Manager in Miami, FL",5,"Good benefits, career growth, learning",no comments at this moments,Be the first to find this review helpful
Challenging and rewarding,"Nov 9, 2019 - Executive Director",5,Incredible and thoughtful peers with a variety of points of view. Professionalism throughout.,Drawbacks similar to other conglomerates with siloed business units. Corporate communication and direction can be inconsistent over time.,Be the first to find this review helpful
Sony career,"Nov 7, 2019 - Brand Representative",5,- Great work environment and people - Cutting edge technology - Respectable company holding great brand - Professional with many things learned,None,Be the first to find this review helpful
Marketing,"Nov 4, 2019 - Product Manager in Paramus, NJ",4,"Recognized brand, good benefits, good salary","Moral is down, lots of layoffs, business situation is rough",1 person found this review helpful
Great place to work. Loved my time there.,"Nov 5, 2019 - VFX Coordinator in Los Angeles, CA",4,Like the workplace and felt the team was great at their job.,"Hours were a bit long, but it's expected in VFX",Be the first to find this review helpful
Solid experience,"Oct 30, 2019 - Associate",4,Flexibility to explore what interests you,bureaucracy and typical large company issues,Be the first to find this review helpful
"Great tech, great history, HQ constantly changing things around","Oct 31, 2019 - Director in Paterson, NJ",4,Outstanding Engineering Generous Per Diem Strong Marketing,Fickle Corp. Management Always Changing Channel Structure,Be the first to find this review helpful
It's okay,"Nov 1, 2019 - Sales Associate",2,Its okay place to work,Pay is bad at this place,Be the first to find this review helpful
Good but not great,"Oct 30, 2019 - Marketing Manager in San Diego, CA",3,"Good working environment, facilities and flexibility","Some departments are heavily controlled by Tokyo and have to work very long hours, these departments offer locals little chance of a long term career.",Be the first to find this review helpful
Inte6,"Sep 10, 2019 - Programming",5,Best there work free for you,Not well environment for you to get,Be the first to find this review helpful
Good company to start,"Sep 19, 2019 - Engineer",4,Great training programs and culture,Little career growth opportunities,Be the first to find this review helpful
Great employer,"Aug 14, 2019 - Senior Demand Planner in San Mateo, CA",5,Sony Mobile is a great employer. Work schedule is flexible and colleagues are nice to work with. Benefits are good. There are opportunities for job rotation as well.,Innovation and technology might be behind competition.,Be the first to find this review helpful
